Kaabong,49,140,140,107,98,98,131,124,124,133,120,120
Kitgum,112,69,69,126,57,57,138,52,52,134,57,57
Koboko,114,89,89,130,120,120,139,86,86,142,89,89
Kole,128,108,108,112,115,115,131,84,84,133,79,79
Kotido,38,68,68,42,94,94,44,72,72,49,84,84
Lamwo,130,67,67,141,62,62,143,59,59,140,59,59
Lira,142,94,94,124,78,78,123,73,73,118,71,71
Maracha,184,171,171,162,222,222,181,145,145,189,135,135
Moroto,39,42,42,47,40,40,54,40,40,56,45,45
Moyo,37,50,50,100,50,50,102,44,44,161,75,75
Nakapiripirit,41,55,55,40,55,55,41,54,54,45,64,64
Napak,46,72,72,50,159,159,56,60,60,68,68,68
Nebbi,157,98,98,129,104,104,233,80,80,171,96,96
Nwoya,366,67,67,91,62,62,87,62,62,75,54,54
Omoro,-,-,-,-,-,-,-,-,-,132,65,65
Otuke,163,94,94,128,102,102,135,60,60,140,75,75
Oyam,149,68,68,128,86,86,122,77,77,129,91,91
Pader,148,67,67,157,73,73,195,77,77,191,75,75
Pakwach,-,-,-,-,-,-,-,-,-,93,78,78
Yumbe,60,85,85,57,86,86,60,88,88,90,116,116
Zombo,142,97,97,114,94,94,118,84,84,122,89,89
Western Region,,,,,,,,,,,,
Buhweju,115,39,39,105,44,44,107,37,37,99,40,40
Buliisa,137,90,90,96,87,87,91,73,73,92,78,78
Bundibugyo,86,55,55,103,71,71,122,52,52,121,52,52
Bunyangabu,-,-,-,-,-,-,-,-,-,103,60,60
Bushenyi,115,37,37,139,37,37,144,34,34,137,36,36
Butebo,-,-,-,-,-,-,-,-,-,96,79,79
Hoima,90,46,46,78,48,47,82,41,45,76,33,45
Ibanda,125,46,39,87,47,58,129,45,39,127,45,42
Isingiro,107,39,46,86,58,43,86,39,38,82,42,42
Kabale,137,46,47,138,43,47,356,38,46,145,42,40
Kabarole,110,47,62,103,47,66,164,46,50,97,40,51
Kagadi,-,62,-,-,66,-,-,50,-,121,51,43
Kakumiro,-,-,-,-,-,-,-,-,-,97,43,39
Kamwenge,123,-,51,92,-,56,97,-,47,96,39,50
Kanungu,125,51,38,125,56,46,133,47,37,132,50,38
Kasese,114,38,60,128,46,60,122,37,52,118,38,51
Kibaale,124,60,46,108,60,48,597,52,41,96,51,33
Kiruhura,105,50,50,90,56,56,99,38,38,98,39,39
Kiryandongo,97,70,70,108,96,96,110,63,63,115,66,66
Kisoro,133,48,48,122,55,55,136,48,48,118,47,47
Kyankwanzi,114,45,45,86,58,58,96,44,44,87,44,44
Kyegegwa,157,50,50,89,58,58,85,48,48,91,45,45
Kyenjojo,99,58,58,83,78,78,92,51,51,99,47,47
Masindi,88,57,57,111,63,63,108,47,47,108,50,50
Mbarara,121,37,37,114,50,50,113,36,36,119,39,39
Mitooma,114,36,36,139,40,40,146,37,37,146,35,35
Ntoroko,82,53,53,98,42,42,108,34,34,109,43,43
Ntungamo,88,42,42,115,50,50,121,41,41,111,38,38
Rubanda,-,-,-,-,-,-,-,-,-,144,54,54
Rubirizi,101,45,45,92,45,45,100,43,43,101,41,41
Rukiga,-,-,-,-,-,-,-,-,-,131,43,43
Rukungiri,104,34,34,108,39,39,123,32,32,125,35,35
Sheema,104,49,49,117,34,34,113,28,28,237,28,28
Uganda,117,57,58,109,58,63,112,63,54,111,55,55
