District,Value,Metric,Year
BUDUDA,70.0,Pupil Teacher Ratio,2014
BUGIRI,71.0,Pupil Teacher Ratio,2014
BUKEDEA,101.0,Pupil Teacher Ratio,2014
BUKWO,101.0,Pupil Teacher Ratio,2014
BULAMBULI,63.0,Pupil Teacher Ratio,2014
BUSIA,68.0,Pupil Teacher Ratio,2014
BUTALEJA,133.0,Pupil Teacher Ratio,2014
BUYENDE,66.0,Pupil Teacher Ratio,2014
IGANGA,59.0,Pupil Teacher Ratio,2014
JINJA,53.0,Pupil Teacher Ratio,2014
KABERAMAIDO,81.0,Pupil Teacher Ratio,2014
KALIRO,70.0,Pupil Teacher Ratio,2014
KAMULI,64.0,Pupil Teacher Ratio,2014
KAPCHORWA,56.0,Pupil Teacher Ratio,2014
KATAKWI,82.0,Pupil Teacher Ratio,2014
KIBUKU,72.0,Pupil Teacher Ratio,2014
KUMI,97.0,Pupil Teacher Ratio,2014
KWEEN,74.0,Pupil Teacher Ratio,2014
LUUKA,75.0,Pupil Teacher Ratio,2014
MANAFWA,77.0,Pupil Teacher Ratio,2014
MAYUGE,62.0,Pupil Teacher Ratio,2014
MBALE,63.0,Pupil Teacher Ratio,2014
NAMAYINGO,68.0,Pupil Teacher Ratio,2014
NAMISINDWA,,Pupil Teacher Ratio,2014
NAMUTUMBA,76.0,Pupil Teacher Ratio,2014
NGORA,66.0,Pupil Teacher Ratio,2014
PALLISA,68.0,Pupil Teacher Ratio,2014
SERERE,69.0,Pupil Teacher Ratio,2014
SIRONKO,63.0,Pupil Teacher Ratio,2014
SOROTI,61.0,Pupil Teacher Ratio,2014
TORORO,80.0,Pupil Teacher Ratio,2014
ABIM,74.0,Pupil Teacher Ratio,2014
ADJUMANI,61.0,Pupil Teacher Ratio,2014
AGAGO,78.0,Pupil Teacher Ratio,2014
ALEBTONG,99.0,Pupil Teacher Ratio,2014
AMOLATAR,66.0,Pupil Teacher Ratio,2014
AMUDAT,59.0,Pupil Teacher Ratio,2014
AMURIA,81.0,Pupil Teacher Ratio,2014
AMURU,72.0,Pupil Teacher Ratio,2014
APAC,89.0,Pupil Teacher Ratio,2014
ARUA,103.0,Pupil Teacher Ratio,2014
DOKOLO,64.0,Pupil Teacher Ratio,2014
GULU,59.0,Pupil Teacher Ratio,2014
KAABONG,140.0,Pupil Teacher Ratio,2014
KITGUM,69.0,Pupil Teacher Ratio,2014
KOBOKO,89.0,Pupil Teacher Ratio,2014
KOLE,108.0,Pupil Teacher Ratio,2014
KOTIDO,68.0,Pupil Teacher Ratio,2014
LAMWO,67.0,Pupil Teacher Ratio,2014
LIRA,94.0,Pupil Teacher Ratio,2014
MARACHA,171.0,Pupil Teacher Ratio,2014
MOROTO,42.0,Pupil Teacher Ratio,2014
MOYO,50.0,Pupil Teacher Ratio,2014
NAKAPIRIPIRIT,55.0,Pupil Teacher Ratio,2014
NAPAK,72.0,Pupil Teacher Ratio,2014
NEBBI,98.0,Pupil Teacher Ratio,2014
NWOYA,67.0,Pupil Teacher Ratio,2014
OMORO,,Pupil Teacher Ratio,2014
OTUKE,94.0,Pupil Teacher Ratio,2014
OYAM,68.0,Pupil Teacher Ratio,2014
PADER,67.0,Pupil Teacher Ratio,2014
PAKWACH,,Pupil Teacher Ratio,2014
YUMBE,85.0,Pupil Teacher Ratio,2014
ZOMBO,97.0,Pupil Teacher Ratio,2014
BUHWEJU,39.0,Pupil Teacher Ratio,2014
BULIISA,90.0,Pupil Teacher Ratio,2014
BUNDIBUGYO,55.0,Pupil Teacher Ratio,2014
BUNYANGABU,,Pupil Teacher Ratio,2014
BUSHENYI,37.0,Pupil Teacher Ratio,2014
BUTEBO,,Pupil Teacher Ratio,2014
HOIMA,46.0,Pupil Teacher Ratio,2014
IBANDA,46.0,Pupil Teacher Ratio,2014
ISINGIRO,39.0,Pupil Teacher Ratio,2014
KABALE,46.0,Pupil Teacher Ratio,2014
KABAROLE,47.0,Pupil Teacher Ratio,2014
KAGADI,62.0,Pupil Teacher Ratio,2014
KAKUMIRO,,Pupil Teacher Ratio,2014
KAMWENGE,,Pupil Teacher Ratio,2014
KANUNGU,51.0,Pupil Teacher Ratio,2014
KASESE,38.0,Pupil Teacher Ratio,2014
KIBAALE,60.0,Pupil Teacher Ratio,2014
KIRUHURA,50.0,Pupil Teacher Ratio,2014
KIRYANDONGO,70.0,Pupil Teacher Ratio,2014
KISORO,48.0,Pupil Teacher Ratio,2014
KYANKWANZI,45.0,Pupil Teacher Ratio,2014
KYEGEGWA,50.0,Pupil Teacher Ratio,2014
KYENJOJO,58.0,Pupil Teacher Ratio,2014
MASINDI,57.0,Pupil Teacher Ratio,2014
MBARARA,37.0,Pupil Teacher Ratio,2014
MITOOMA,36.0,Pupil Teacher Ratio,2014
NTOROKO,53.0,Pupil Teacher Ratio,2014
NTUNGAMO,42.0,Pupil Teacher Ratio,2014
RUBANDA,,Pupil Teacher Ratio,2014
RUBIRIZI,45.0,Pupil Teacher Ratio,2014
RUKIGA,,Pupil Teacher Ratio,2014
RUKUNGIRI,34.0,Pupil Teacher Ratio,2014
SHEEMA,49.0,Pupil Teacher Ratio,2014
BUIKWE,45.0,Primary Completion Ratio,2014
BUKOMANSIMBI,66.0,Primary Completion Ratio,2014
BUTAMBALA,38.0,Primary Completion Ratio,2014
BUVUMA,77.0,Primary Completion Ratio,2014
GOMBA,51.0,Primary Completion Ratio,2014
KALANGALA,29.0,Primary Completion Ratio,2014
KALUNGU,68.0,Primary Completion Ratio,2014
KAMPALA,41.0,Primary Completion Ratio,2014
KAYUNGA,53.0,Primary Completion Ratio,2014
KIBOGA,35.0,Primary Completion Ratio,2014
KYOTERA,,Primary Completion Ratio,2014
LWENGO,62.0,Primary Completion Ratio,2014
LYANTONDE,43.0,Primary Completion Ratio,2014
MASAKA,39.0,Primary Completion Ratio,2014
MITYANA,39.0,Primary Completion Ratio,2014
MPIGI,46.0,Primary Completion Ratio,2014
MUBENDE,54.0,Primary Completion Ratio,2014
MUKONO,51.0,Primary Completion Ratio,2014
NAKASEKE,46.0,Primary Completion Ratio,2014
NAKASONGOLA,36.0,Primary Completion Ratio,2014
RAKAI,59.0,Primary Completion Ratio,2014
SSEMBABULE,64.0,Primary Completion Ratio,2014
WAKISO,39.0,Primary Completion Ratio,2014
BUDAKA,83.0,Primary Completion Ratio,2014
BUDUDA,70.0,Primary Completion Ratio,2014
BUGIRI,71.0,Primary Completion Ratio,2014
BUKEDEA,101.0,Primary Completion Ratio,2014
BUKWO,101.0,Primary Completion Ratio,2014
BULAMBULI,63.0,Primary Completion Ratio,2014
BUSIA,68.0,Primary Completion Ratio,2014
BUTALEJA,133.0,Primary Completion Ratio,2014
BUYENDE,66.0,Primary Completion Ratio,2014
IGANGA,59.0,Primary Completion Ratio,2014
JINJA,53.0,Primary Completion Ratio,2014
KABERAMAIDO,81.0,Primary Completion Ratio,2014
KALIRO,70.0,Primary Completion Ratio,2014
KAMULI,64.0,Primary Completion Ratio,2014
KAPCHORWA,56.0,Primary Completion Ratio,2014
KATAKWI,82.0,Primary Completion Ratio,2014
KIBUKU,72.0,Primary Completion Ratio,2014
KUMI,97.0,Primary Completion Ratio,2014
KWEEN,74.0,Primary Completion Ratio,2014
LUUKA,75.0,Primary Completion Ratio,2014
MANAFWA,77.0,Primary Completion Ratio,2014
MAYUGE,62.0,Primary Completion Ratio,2014
MBALE,63.0,Primary Completion Ratio,2014
NAMAYINGO,68.0,Primary Completion Ratio,2014
NAMISINDWA,,Primary Completion Ratio,2014
NAMUTUMBA,76.0,Primary Completion Ratio,2014
NGORA,66.0,Primary Completion Ratio,2014
PALLISA,68.0,Primary Completion Ratio,2014
SERERE,69.0,Primary Completion Ratio,2014
SIRONKO,63.0,Primary Completion Ratio,2014
SOROTI,61.0,Primary Completion Ratio,2014
TORORO,80.0,Primary Completion Ratio,2014
ABIM,74.0,Primary Completion Ratio,2014
ADJUMANI,61.0,Primary Completion Ratio,2014
AGAGO,78.0,Primary Completion Ratio,2014
ALEBTONG,99.0,Primary Completion Ratio,2014
AMOLATAR,66.0,Primary Completion Ratio,2014
AMUDAT,59.0,Primary Completion Ratio,2014
AMURIA,81.0,Primary Completion Ratio,2014
AMURU,72.0,Primary Completion Ratio,2014
APAC,89.0,Primary Completion Ratio,2014
ARUA,103.0,Primary Completion Ratio,2014
DOKOLO,64.0,Primary Completion Ratio,2014
GULU,59.0,Primary Completion Ratio,2014
KAABONG,140.0,Primary Completion Ratio,2014
KITGUM,69.0,Primary Completion Ratio,2014
KOBOKO,89.0,Primary Completion Ratio,2014
KOLE,108.0,Primary Completion Ratio,2014
KOTIDO,68.0,Primary Completion Ratio,2014
LAMWO,67.0,Primary Completion Ratio,2014
LIRA,94.0,Primary Completion Ratio,2014
MARACHA,171.0,Primary Completion Ratio,2014
MOROTO,42.0,Primary Completion Ratio,2014
MOYO,50.0,Primary Completion Ratio,2014
NAKAPIRIPIRIT,55.0,Primary Completion Ratio,2014
NAPAK,72.0,Primary Completion Ratio,2014
NEBBI,98.0,Primary Completion Ratio,2014
NWOYA,67.0,Primary Completion Ratio,2014
OMORO,,Primary Completion Ratio,2014
OTUKE,94.0,Primary Completion Ratio,2014
OYAM,68.0,Primary Completion Ratio,2014
PADER,67.0,Primary Completion Ratio,2014
PAKWACH,,Primary Completion Ratio,2014
YUMBE,85.0,Primary Completion Ratio,2014
ZOMBO,97.0,Primary Completion Ratio,2014
BUHWEJU,39.0,Primary Completion Ratio,2014
BULIISA,90.0,Primary Completion Ratio,2014
BUNDIBUGYO,55.0,Primary Completion Ratio,2014
BUNYANGABU,,Primary Completion Ratio,2014
BUSHENYI,37.0,Primary Completion Ratio,2014
BUTEBO,,Primary Completion Ratio,2014
HOIMA,46.0,Primary Completion Ratio,2014
IBANDA,39.0,Primary Completion Ratio,2014
ISINGIRO,46.0,Primary Completion Ratio,2014
KABALE,47.0,Primary Completion Ratio,2014
KABAROLE,62.0,Primary Completion Ratio,2014
KAGADI,,Primary Completion Ratio,2014
KAKUMIRO,,Primary Completion Ratio,2014
KAMWENGE,51.0,Primary Completion Ratio,2014
KANUNGU,38.0,Primary Completion Ratio,2014
KASESE,60.0,Primary Completion Ratio,2014
KIBAALE,46.0,Primary Completion Ratio,2014
KIRUHURA,50.0,Primary Completion Ratio,2014
KIRYANDONGO,70.0,Primary Completion Ratio,2014
KISORO,48.0,Primary Completion Ratio,2014
KYANKWANZI,45.0,Primary Completion Ratio,2014
KYEGEGWA,50.0,Primary Completion Ratio,2014
KYENJOJO,58.0,Primary Completion Ratio,2014
MASINDI,57.0,Primary Completion Ratio,2014
MBARARA,37.0,Primary Completion Ratio,2014
MITOOMA,36.0,Primary Completion Ratio,2014
NTOROKO,53.0,Primary Completion Ratio,2014
NTUNGAMO,42.0,Primary Completion Ratio,2014
RUBANDA,,Primary Completion Ratio,2014
RUBIRIZI,45.0,Primary Completion Ratio,2014
RUKIGA,,Primary Completion Ratio,2014
RUKUNGIRI,34.0,Primary Completion Ratio,2014
SHEEMA,49.0,Primary Completion Ratio,2014
BUIKWE,88.0,Gross Enrollment Ratio,2015
BUKOMANSIMBI,138.0,Gross Enrollment Ratio,2015
BUTAMBALA,139.0,Gross Enrollment Ratio,2015
BUVUMA,103.0,Gross Enrollment Ratio,2015
GOMBA,94.0,Gross Enrollment Ratio,2015
KALANGALA,87.0,Gross Enrollment Ratio,2015
KALUNGU,139.0,Gross Enrollment Ratio,2015
KAMPALA,78.0,Gross Enrollment Ratio,2015
KAYUNGA,100.0,Gross Enrollment Ratio,2015
KIBOGA,103.0,Gross Enrollment Ratio,2015
KYOTERA,,Gross Enrollment Ratio,2015
LWENGO,112.0,Gross Enrollment Ratio,2015
LYANTONDE,123.0,Gross Enrollment Ratio,2015
MASAKA,91.0,Gross Enrollment Ratio,2015
MITYANA,84.0,Gross Enrollment Ratio,2015
MPIGI,107.0,Gross Enrollment Ratio,2015
MUBENDE,85.0,Gross Enrollment Ratio,2015
MUKONO,91.0,Gross Enrollment Ratio,2015
NAKASEKE,155.0,Gross Enrollment Ratio,2015
NAKASONGOLA,95.0,Gross Enrollment Ratio,2015
RAKAI,106.0,Gross Enrollment Ratio,2015
SSEMBABULE,121.0,Gross Enrollment Ratio,2015
WAKISO,61.0,Gross Enrollment Ratio,2015
BUDAKA,135.0,Gross Enrollment Ratio,2015
BUDUDA,107.0,Gross Enrollment Ratio,2015
BUGIRI,103.0,Gross Enrollment Ratio,2015
BUKEDEA,135.0,Gross Enrollment Ratio,2015
BUKWO,177.0,Gross Enrollment Ratio,2015
BULAMBULI,101.0,Gross Enrollment Ratio,2015
BUSIA,138.0,Gross Enrollment Ratio,2015
BUTALEJA,141.0,Gross Enrollment Ratio,2015
BUYENDE,90.0,Gross Enrollment Ratio,2015
IGANGA,119.0,Gross Enrollment Ratio,2015
JINJA,98.0,Gross Enrollment Ratio,2015
KABERAMAIDO,136.0,Gross Enrollment Ratio,2015
KALIRO,112.0,Gross Enrollment Ratio,2015
KAMULI,115.0,Gross Enrollment Ratio,2015
KAPCHORWA,142.0,Gross Enrollment Ratio,2015
KATAKWI,126.0,Gross Enrollment Ratio,2015
KIBUKU,121.0,Gross Enrollment Ratio,2015
KUMI,134.0,Gross Enrollment Ratio,2015
KWEEN,126.0,Gross Enrollment Ratio,2015
LUUKA,133.0,Gross Enrollment Ratio,2015
MANAFWA,143.0,Gross Enrollment Ratio,2015
MAYUGE,70.0,Gross Enrollment Ratio,2015
MBALE,110.0,Gross Enrollment Ratio,2015
NAMAYINGO,110.0,Gross Enrollment Ratio,2015
NAMISINDWA,,Gross Enrollment Ratio,2015
NAMUTUMBA,125.0,Gross Enrollment Ratio,2015
NGORA,130.0,Gross Enrollment Ratio,2015
PALLISA,123.0,Gross Enrollment Ratio,2015
SERERE,130.0,Gross Enrollment Ratio,2015
SIRONKO,142.0,Gross Enrollment Ratio,2015
SOROTI,94.0,Gross Enrollment Ratio,2015
TORORO,141.0,Gross Enrollment Ratio,2015
ABIM,91.0,Gross Enrollment Ratio,2015
ADJUMANI,85.0,Gross Enrollment Ratio,2015
AGAGO,155.0,Gross Enrollment Ratio,2015
ALEBTONG,128.0,Gross Enrollment Ratio,2015
AMOLATAR,123.0,Gross Enrollment Ratio,2015
AMUDAT,22.0,Gross Enrollment Ratio,2015
AMURIA,119.0,Gross Enrollment Ratio,2015
AMURU,111.0,Gross Enrollment Ratio,2015
APAC,129.0,Gross Enrollment Ratio,2015
ARUA,154.0,Gross Enrollment Ratio,2015
DOKOLO,111.0,Gross Enrollment Ratio,2015
GULU,128.0,Gross Enrollment Ratio,2015
KAABONG,107.0,Gross Enrollment Ratio,2015
KITGUM,126.0,Gross Enrollment Ratio,2015
KOBOKO,130.0,Gross Enrollment Ratio,2015
KOLE,112.0,Gross Enrollment Ratio,2015
KOTIDO,42.0,Gross Enrollment Ratio,2015
LAMWO,141.0,Gross Enrollment Ratio,2015
LIRA,124.0,Gross Enrollment Ratio,2015
MARACHA,162.0,Gross Enrollment Ratio,2015
MOROTO,47.0,Gross Enrollment Ratio,2015
MOYO,100.0,Gross Enrollment Ratio,2015
NAKAPIRIPIRIT,40.0,Gross Enrollment Ratio,2015
NAPAK,50.0,Gross Enrollment Ratio,2015
NEBBI,129.0,Gross Enrollment Ratio,2015
NWOYA,91.0,Gross Enrollment Ratio,2015
OMORO,,Gross Enrollment Ratio,2015
OTUKE,128.0,Gross Enrollment Ratio,2015
OYAM,128.0,Gross Enrollment Ratio,2015
PADER,157.0,Gross Enrollment Ratio,2015
PAKWACH,,Gross Enrollment Ratio,2015
YUMBE,57.0,Gross Enrollment Ratio,2015
ZOMBO,114.0,Gross Enrollment Ratio,2015
BUHWEJU,105.0,Gross Enrollment Ratio,2015
BULIISA,96.0,Gross Enrollment Ratio,2015
BUNDIBUGYO,103.0,Gross Enrollment Ratio,2015
BUNYANGABU,,Gross Enrollment Ratio,2015
BUSHENYI,139.0,Gross Enrollment Ratio,2015
BUTEBO,,Gross Enrollment Ratio,2015
HOIMA,78.0,Gross Enrollment Ratio,2015
IBANDA,87.0,Gross Enrollment Ratio,2015
ISINGIRO,86.0,Gross Enrollment Ratio,2015
KABALE,138.0,Gross Enrollment Ratio,2015
KABAROLE,103.0,Gross Enrollment Ratio,2015
KAGADI,,Gross Enrollment Ratio,2015
KAKUMIRO,,Gross Enrollment Ratio,2015
KAMWENGE,92.0,Gross Enrollment Ratio,2015
KANUNGU,125.0,Gross Enrollment Ratio,2015
KASESE,128.0,Gross Enrollment Ratio,2015
KIBAALE,108.0,Gross Enrollment Ratio,2015
KIRUHURA,90.0,Gross Enrollment Ratio,2015
KIRYANDONGO,108.0,Gross Enrollment Ratio,2015
KISORO,122.0,Gross Enrollment Ratio,2015
KYANKWANZI,86.0,Gross Enrollment Ratio,2015
KYEGEGWA,89.0,Gross Enrollment Ratio,2015
KYENJOJO,83.0,Gross Enrollment Ratio,2015
MASINDI,111.0,Gross Enrollment Ratio,2015
MBARARA,114.0,Gross Enrollment Ratio,2015
MITOOMA,139.0,Gross Enrollment Ratio,2015
NTOROKO,98.0,Gross Enrollment Ratio,2015
NTUNGAMO,115.0,Gross Enrollment Ratio,2015
RUBANDA,,Gross Enrollment Ratio,2015
RUBIRIZI,92.0,Gross Enrollment Ratio,2015
RUKIGA,,Gross Enrollment Ratio,2015
RUKUNGIRI,108.0,Gross Enrollment Ratio,2015
SHEEMA,117.0,Gross Enrollment Ratio,2015
BUIKWE,51.0,Pupil Teacher Ratio,2015
BUKOMANSIMBI,37.0,Pupil Teacher Ratio,2015
BUTAMBALA,45.0,Pupil Teacher Ratio,2015
BUVUMA,123.0,Pupil Teacher Ratio,2015
GOMBA,57.0,Pupil Teacher Ratio,2015
KALANGALA,25.0,Pupil Teacher Ratio,2015
KALUNGU,84.0,Pupil Teacher Ratio,2015
KAMPALA,42.0,Pupil Teacher Ratio,2015
KAYUNGA,67.0,Pupil Teacher Ratio,2015
KIBOGA,42.0,Pupil Teacher Ratio,2015
KYOTERA,,Pupil Teacher Ratio,2015
LWENGO,71.0,Pupil Teacher Ratio,2015
LYANTONDE,51.0,Pupil Teacher Ratio,2015
MASAKA,43.0,Pupil Teacher Ratio,2015
MITYANA,47.0,Pupil Teacher Ratio,2015
MPIGI,51.0,Pupil Teacher Ratio,2015
MUBENDE,61.0,Pupil Teacher Ratio,2015
MUKONO,53.0,Pupil Teacher Ratio,2015
NAKASEKE,49.0,Pupil Teacher Ratio,2015
NAKASONGOLA,39.0,Pupil Teacher Ratio,2015
RAKAI,70.0,Pupil Teacher Ratio,2015
SSEMBABULE,60.0,Pupil Teacher Ratio,2015
WAKISO,40.0,Pupil Teacher Ratio,2015
BUDAKA,108.0,Pupil Teacher Ratio,2015
BUDUDA,74.0,Pupil Teacher Ratio,2015
BUGIRI,80.0,Pupil Teacher Ratio,2015
BUKEDEA,80.0,Pupil Teacher Ratio,2015
BUKWO,86.0,Pupil Teacher Ratio,2015
BULAMBULI,35.0,Pupil Teacher Ratio,2015
BUSIA,76.0,Pupil Teacher Ratio,2015
BUTALEJA,108.0,Pupil Teacher Ratio,2015
BUYENDE,99.0,Pupil Teacher Ratio,2015
IGANGA,58.0,Pupil Teacher Ratio,2015
JINJA,58.0,Pupil Teacher Ratio,2015
KABERAMAIDO,72.0,Pupil Teacher Ratio,2015
KALIRO,101.0,Pupil Teacher Ratio,2015
KAMULI,63.0,Pupil Teacher Ratio,2015
KAPCHORWA,77.0,Pupil Teacher Ratio,2015
KATAKWI,79.0,Pupil Teacher Ratio,2015
KIBUKU,67.0,Pupil Teacher Ratio,2015
KUMI,124.0,Pupil Teacher Ratio,2015
KWEEN,133.0,Pupil Teacher Ratio,2015
LUUKA,81.0,Pupil Teacher Ratio,2015
MANAFWA,93.0,Pupil Teacher Ratio,2015
MAYUGE,103.0,Pupil Teacher Ratio,2015
MBALE,87.0,Pupil Teacher Ratio,2015
NAMAYINGO,72.0,Pupil Teacher Ratio,2015
NAMISINDWA,,Pupil Teacher Ratio,2015
